id,username,created_at,lng,lat,text
1517009333334253568,chef___DU,Thu Apr 21 05:16:24 +0000 2022,-104.92209349999999,39.713563,Hair back chillin with no make up on…
1517009333581582336,echoisthename,Thu Apr 21 05:16:24 +0000 2022,-118.4119065,34.0207895,YOOO this a video game??!! 😲
1517009333971668992,DavidBFox,Thu Apr 21 05:16:24 +0000 2022,-122.568507,37.9836485,Someone just heard the news a couple of weeks late. #ReturnToMonkeyIsland
1517009336182132736,LisaMarie1128,Thu Apr 21 05:16:25 +0000 2022,-77.6885355,43.2514515,Thank you for always being there.. I appreciate all that you are. FYI
1517009336362577920,BasementTrix,Thu Apr 21 05:16:25 +0000 2022,-86.791549,36.200008,@SteveHuff I'm intrigued.
1517009337620656128,UsmanPatel_,Thu Apr 21 05:16:25 +0000 2022,-118.4119065,34.0207895,@_Updo @estefanyamb You as well homie 💙Live it up and celebrate yourself like you deserve king 👑
1517009338916765697,handsomeadult,Thu Apr 21 05:16:25 +0000 2022,-118.4119065,34.0207895,@alpacinogrunt I didn’t even get him that bad
1517009340724568066,_tavier,Thu Apr 21 05:16:26 +0000 2022,-83.1738665,32.6782075,when i’m on the move i feel the most inspired
1517009341051592704,Britta4Sheriff,Thu Apr 21 05:16:26 +0000 2022,-118.4119065,34.0207895,@K_CrowleyLA @CBSLA You can watch it here https://t.co/Nkyq6sNlTN
1517009341303373824,___erica0317,Thu Apr 21 05:16:26 +0000 2022,-75.04564099999999,39.3862405,Ever since I’ve been staying out the way it’s been great from multiple aspects
1517009341827764224,gavinatc,Thu Apr 21 05:16:26 +0000 2022,-122.35378414,47.62217991,"The @seattlekraken win 3-2 over the Central Division leading Avalanche. Wow! Super good effort, @philippgrubauer31… https://t.co/Kdbeyjzdkv"
1517009343270457344,As_Fan_Radio,Thu Apr 21 05:16:26 +0000 2022,-122.2286855,37.791994,"Blackburn set for finale: Paul Blackburn opens the series finale on Thursday, looking to keep his solid start goinghttps://t.co/JOpRttee86"
1517009344004513792,ykbaddie_,Thu Apr 21 05:16:26 +0000 2022,-91.0907995,30.4591,It’s been a month 🥲
1517009344688181251,mr_j1998,Thu Apr 21 05:16:27 +0000 2022,-81.7352545,28.788726500000003,@bromid @ACLU @bkirz @Meatyguy @nyooooomitg @Kingly0729 @NaoHikari @AlessandroT_B heard!
1517009345879298048,AlAboutNothing,Thu Apr 21 05:16:27 +0000 2022,-122.044814,37.592158999999995,Wow you went Hollywood!! Lol
1517009346793672704,N8Dick,Thu Apr 21 05:16:27 +0000 2022,-120.58340150000001,44.1454365,@SportsCenter @MLB I’ve seen too many pitches sit him down.
1517009348685287426,raul_vegas9,Thu Apr 21 05:16:28 +0000 2022,-115.23443549999999,36.0188045,@BrodieNBCS Aviators beating As in attendance thoughts?
1517009348815253504,retreado,Thu Apr 21 05:16:28 +0000 2022,-118.731399,34.2673105,"Could not agree more. In a society as interconnected as ours, health policy cannot be an individual choice. The rig… https://t.co/7mHBQtmN0J"
1517009348928679936,Lyndsay_Live,Thu Apr 21 05:16:28 +0000 2022,-84.53981250000001,39.137038000000004,"A diagram of @WBBChris and I sleeping at night. The ⭐️ = our dogs. We need a king bed, but my mom once told him a… https://t.co/vKlhRaddKA"
1517009350031814657,Taebucks34,Thu Apr 21 05:16:28 +0000 2022,-87.9672925,43.0567225,@FanKarnisovas fluke game imo
1517009351319318529,cooIjr,Thu Apr 21 05:16:28 +0000 2022,-118.4119065,34.0207895,shits beyond me
1517009351415844865,CafConL65649502,Thu Apr 21 05:16:28 +0000 2022,-76.62048200000001,39.284712999999996,Honestly
1517009351621324801,Karmaaaa777,Thu Apr 21 05:16:28 +0000 2022,-111.8808735,33.282450499999996,@vanessadenise_ You get on my nerves 😭😭😭
1517009353152335873,Gaven_Tretter,Thu Apr 21 05:16:29 +0000 2022,-75.780934,40.520057,May or may not have full on sobbed during ribs tonight 🥹
1517009356750917632,karenmariscaal,Thu Apr 21 05:16:29 +0000 2022,-122.0238405,37.378397,taco night 😋
1517009358638436355,huzaifadokaji,Thu Apr 21 05:16:30 +0000 2022,-73.0976515,40.927985500000005,@Ameenu_Kutama @muky_zanna I agree. There has to be means or influence over those with means.
1517009359120781313,AaronPyne4,Thu Apr 21 05:16:30 +0000 2022,-80.8467855,35.209058999999996,@RobbersonJon French do have a rather violent history of rebelling against its internal class warfare. It’s nearly… https://t.co/56SJV0Rfkh
1517009360446177282,keegn5,Thu Apr 21 05:16:30 +0000 2022,-87.732013,41.8335845,Update: we 🍃 https://t.co/Bzsfp7reP5
1517009361801039872,laurenbrock100,Thu Apr 21 05:16:31 +0000 2022,-72.757385,41.500753,"@SiggyRose1 I assure you that 200 years from now, you’ll have more to worry about. We teach our kids about the geno… https://t.co/jFkMzClUXc"
1517009361993875456,MaxeyMeme,Thu Apr 21 05:16:31 +0000 2022,-83.3997795,33.9563835,#ChimeFinLIT  @Chime $meme
1517009362505580550,JimenezSellsTX,Thu Apr 21 05:16:31 +0000 2022,-98.5406515,29.417501,@RealSpurnandez Gotta buy that woman a shot 😂
1517009362513977345,hallums_yvonne,Thu Apr 21 05:16:31 +0000 2022,-86.1429225,39.7795625,@Bpup501 @RealBLee1 @brule_t @SwordBrain We know fake is fake https://t.co/fxBVt2NJ3d
